ticker,reason,evidence
ABHY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-06-05, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ABHY' (outcome=not_found, 20.008s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-06-05"
ABNY,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ABNY' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
ACWF,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-06-28, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ACWF' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-06-28"
ADFI,"IBKR contract database returned no matching contract (sweep 2026-07-25); traded to the catalog cutoff 2026-05-01, so delisted between then and the sweep","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ADFI' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2026-05-01"
ADRE,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-03-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'ADRE' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-03-30"
AEMB,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-09-26, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AEMB' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-09-26"
AFTY,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2024-10-10, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AFTY' (outcome=not_found, 20.006s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2024-10-10"
AGIH,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2025-08-18, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AGIH' (outcome=not_found, 20.005s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2025-08-18"
AGOV,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-11-14, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AGOV' (outcome=not_found, 20.011s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-11-14"
AHHX,"IBKR contract database returned no matching contract (sweep 2026-07-25); last daily bar 2023-03-30, before the catalog cutoff 2026-05-01 — consistent with delisting","_bmad-output/implementation-artifacts/venue-backfill-evidence/results.csv row 'AHHX' (outcome=not_found, 20.007s, 2 attempt(s)); catalog_instruments.date_range_end_daily=2023-03-30"
